106	2205	-2173	364	0	14	5	
107	2215	-2173	358	13	18	4	
108	2223	-2168	357	16	15	-5	
109	2226	-2170	361	17	30	-10	
110	2248	-2178	366	7	41	-10	
111	2251	-2156	361	10	58	-6	
112	2243	-2182	373	19	77	-7	
113	2248	-2192	367	16	86	-20	
114	2245	-2151	375	34	92	-11	
115	2243	-2153	363	38	97	-6	
116	2251	-2173	375	38	95	-2	
117	2251	-2175	386	67	89	1	
118	2251	-2162	372	73	77	3	
119	2274	-2161	380	79	76	21	
120	2267	-2161	346	112	103	17	
121	2254	-2156	378	97	101	25	
122	2264	-2146	383	49	61	45	
123	2235	-2142	390	19	2	64	
124	2221	-2162	386	-2	-52	78	
125	2148	-2128	357	-23	-99	116	
126	2132	-2101	389	-12	-118	158	
127	2076	-2005	396	-44	-102	149	
128	1917	-2147	176	-67	-281	125	
129	2046	-2501	68	-67	-412	172	
130	2239	-2454	118	-70	-357	210	
131	2179	-2214	203	20	-260	337	
132	2050	-2052	230	8	-207	332	
133	2020	-2125	202	-17	-142	245	
134	2090	-2136	198	0	-21	146	
135	2027	-2161	214	65	50	123	
136	1986	-2135	224	57	73	75	
137	2010	-2096	193	-9	80	46	
138	1963	-2147	170	1	86	36	
139	1914	-2210	174	46	33	-24	
140	1960	-2236	136	82	61	-49	
141	1956	-2216	91	14	65	-56	
142	1897	-2172	42	28	-17	-85	
143	1966	-2196	18	1	-126	-125	
144	1939	-2182	-36	-43	-201	-108	
145	1992	-2108	-50	-125	-180	-142	
146	2171	-2205	83	-205	1	-130	
147	2402	-2370	487	-241	295	-168	
148	2244	-2525	712	-296	496	-19	
149	1742	-2208	789	-189	20	24	
150	2127	-2185	663	22	-296	-167	
151	2516	-2325	536	7	19	-194	
152	2389	-2268	395	-31	328	-365	
153	2180	-2264	329	76	390	-494	
154	2081	-2122	278	218	254	-403	
155	2223	-2068	217	231	92	-328	
156	2463	-2035	231	263	73	-327	
157	2301	-1966	145	280	129	-147	
158	2236	-1933	133	299	93	34	
159	2397	-1948	118	225	97	112	
160	2530	-1978	141	198	143	137	
161	2364	-2194	259	136	184	114	
162	2092	-2167	382	77	-256	26	
