73	2346	-2062	270	-85	102	17	
74	2445	-2030	214	-144	168	61	
75	2474	-2036	195	-190	260	123	
76	2323	-2147	271	-134	306	231	
77	2058	-2302	329	-119	161	238	
78	2140	-2350	330	-112	-104	62	
79	2404	-2166	351	-63	-145	25	
80	2336	-2041	357	23	14	123	
81	2191	-2084	372	43	70	77	
82	2183	-2186	342	17	15	-12	
83	2210	-2307	273	-16	-64	-6	
84	2242	-2254	236	-19	-75	25	
85	2278	-2128	253	14	17	3	
86	2234	-2159	230	38	101	21	
87	2144	-2222	243	61	83	36	
88	2143	-2190	278	77	-5	10	
89	2205	-2216	247	82	-37	22	
90	2218	-2199	251	84	-12	53	
91	2196	-2174	263	81	-7	45	
92	2214	-2167	267	102	4	43	
93	2207	-2192	241	93	10	47	
94	2203	-2181	224	81	3	39	
95	2225	-2176	224	83	6	33	
96	2217	-2202	222	73	20	52	
97	2201	-2190	224	59	9	52	
98	2202	-2181	224	75	3	45	
99	2216	-2169	238	83	4	43	
100	2218	-2175	252	75	19	32	
101	2201	-2190	245	75	5	36	
102	2194	-2189	261	74	-18	39	
103	2188	-2178	259	75	-40	37	
104	2204	-2180	245	69	-58	38	
105	2203	-2177	269	88	-70	34	
106	2216	-2179	291	93	-80	35	
107	2206	-2163	281	87	-89	25	
108	2230	-2171	281	93	-107	21	
109	2228	-2190	276	97	-109	23	
110	2233	-2169	298	96	-111	18	
111	2227	-2155	280	89	-124	12	
112	2216	-2167	297	79	-143	18	
113	2232	-2179	293	86	-136	23	
114	2242	-2169	297	83	-143	21	
115	2233	-2164	301	73	-139	25	
116	2224	-2153	302	61	-139	28	
117	2212	-2157	323	52	-142	31	
118	2238	-2172	325	43	-148	22	
119	2234	-2167	318	35	-132	39	
120	2199	-2169	332	26	-121	43	
121	2183	-2170	337	22	-132	42	
122	2206	-2176	318	35	-127	52	
123	2217	-2179	312	26	-97	50	
124	2203	-2176	318	17	-59	50	
125	2206	-2168	330	17	-6	62	
126	2195	-2151	325	1	40	37	
127	2214	-2166	334	-23	69	34	
128	2180	-2165	319	-45	117	39	
129	2147	-2183	339	-33	113	37	
130	2100	-2184	342	-33	86	56	
131	2082	-2190	344	-9	49	60	
132	2067	-2193	352	-11	1	61	
133	2065	-2185	358	-1	-51	63	
134	2027	-2190	342	-11	-115	80	
135	2054	-2169	326	-31	-183	80	
136	2082	-2171	272	-23	-211	69	
137	2099	-2175	270	-17	-213	42	
138	2118	-2172	282	-27	-201	20	
139	2124	-2174	287	-35	-175	15	
140	2118	-2207	276	-43	-144	14	
141	2072	-2200	278	-54	-150	10	
142	2070	-2177	274	-47	-167	12	
143	2054	-2173	284	-50	-206	15	
144	2051	-2187	282	-29	-241	26	
145	2047	-2191	279	-23	-303	6	
146	2049	-2195	273	-9	-364	9	
147	2068	-2177	289	17	-400	17	
148	2060	-2179	303	29	-437	10	
149	2080	-2176	297	22	-474	-4	
150	2082	-2171	298	37	-477	-3	
151	2101	-2183	318	50	-483	-36	
152	2099	-2224	307	90	-466	-41	
153	2064	-2229	327	108	-477	-13	
154	2031	-2192	316	105	-515	-29	
155	2038	-2159	324	111	-590	-27	
156	2045	-2167	307	95	-618	-29	
157	2086	-2149	305	66	-629	-53	
158	2073	-2150	296	65	-624	-86	
159	2066	-2168	325	58	-612	-127	
160	2143	-2217	348	53	-584	-145	
161	2105	-2207	361	62	-550	-161	
162	2099	-2151	380	97	-527	-222	
163	2175	-2134	435	150	-576	-280	
164	2219	-2251	450	224	-586	-228	
165	2254	-2247	496	185	-727	-175	
166	2220	-2178	493	168	-900	-118	
167	2242	-2122	458	322	-995	-129	
168	2263	-2110	435	370	-1097	-148	
169	2391	-2104	377	337	-1179	-149	
170	2543	-2106	331	328	-1120	-107	
171	2486	-2181	284	339	-1073	-44	
172	2359	-2210	229	299	-1151	36	
173	2447	-2157	210	205	-1251	35	
174	2528	-2098	262	164	-1310	14	
175	2469	-2037	274	178	-1364	29	
176	2432	-2123	238	244	-1502	79	
177	2471	-2153	241	246	-1605	151	
178	2541	-2143	237	206	-1629	203	
179	2540	-2096	266	223	-1615	241	
180	2584	-2089	305	244	-1579	257	
181	2655	-2057	334	240	-1490	260	
182	2696	-2093	355	197	-1355	267	
183	2681	-2126	389	103	-1190	299	
184	2672	-2097	434	3	-1017	281	
185	2682	-2071	414	21	-866	261	
186	2609	-2113	382	44	-740	294	
187	2514	-2126	373	97	-687	324	
188	2514	-2140	371	101	-638	375	
189	2482	-2142	400	101	-527	416	
