82	2055	-2063	882	-94	-665	-56	
83	2163	-2490	949	-24	-428	74	
84	2195	-2570	939	317	-108	199	
85	1831	-2424	754	402	-210	67	
86	1813	-2390	695	246	-578	94	
87	2736	-2516	1358	-187	-110	407	
88	3051	-2767	1673	157	1188	742	
89	1771	-1259	1622	513	959	289	
90	1611	-1188	1626	-421	295	231	
91	2105	-2276	1830	-963	452	794	
92	2259	-3037	1405	282	427	645	
93	2138	-1972	1230	497	346	-137	
94	2247	-1797	1282	175	480	-491	
95	2236	-1779	1169	-72	672	-332	
96	1964	-2057	1109	-156	820	-136	
97	1824	-2082	1081	277	626	-104	
98	1955	-1844	955	365	462	-81	
99	2157	-1871	824	99	588	-40	
100	2250	-2221	902	-138	744	11	
101	2119	-2495	925	163	853	-171	
102	1944	-2452	903	251	612	-422	
103	1939	-2164	673	309	613	-378	
104	1930	-2366	684	-287	243	-322	
105	1443	-2830	1213	-707	-304	-481	
106	1516	-2779	1535	448	-1671	-846	
107	2815	-1282	1699	440	-1029	-298	
108	2651	-1484	1676	-362	-169	-401	
109	1954	-2744	1530	-505	-124	-568	
110	1888	-2424	1334	694	-433	218	
111	2063	-1779	1269	335	-288	512	
112	2062	-1565	1167	293	-490	335	
113	2136	-1911	1099	-252	-499	233	
114	2117	-2154	1068	85	-590	42	
115	2190	-2036	942	254	-504	48	
116	2283	-2113	927	326	-505	17	
117	2070	-2036	869	413	-613	-56	
118	1911	-2174	863	147	-685	3	
119	1991	-2332	869	278	-776	156	
120	2181	-2442	832	357	-683	246	
121	2106	-2221	650	452	-513	297	
122	2153	-2396	1041	-280	-552	420	
123	3473	-3162	1694	-451	672	900	
124	2143	-1569	1752	844	937	431	
125	1654	-1248	1471	-347	325	272	
126	2185	-2328	1802	-886	708	688	
127	2350	-2970	1364	-123	770	439	
128	1985	-1987	1253	303	547	-184	
129	2121	-1812	1378	155	705	-343	
130	2164	-1789	1127	-95	875	-285	
131	1861	-2050	1079	-51	848	-166	
132	1850	-2018	1103	309	750	-47	
133	1955	-1896	930	391	596	45	
134	2029	-2039	866	133	584	29	
135	2211	-2177	856	189	637	-28	
136	2298	-2166	857	180	836	-182	
137	2060	-2339	866	66	851	-394	
138	1823	-2459	807	123	550	-494	
139	2059	-2365	607	236	311	-427	
140	2019	-2354	971	-267	200	-345	
141	1234	-2738	1333	-677	-379	-619	
142	1935	-2190	1553	618	-1295	-471	
143	2666	-1400	1734	-7	-258	-334	
144	2200	-2095	1768	-953	97	-530	
145	1730	-3229	1322	84	-54	-133	
146	1994	-2004	1321	494	-258	557	
147	1897	-1739	1347	315	-386	550	
