79	39024.1835937500	67	744	7	-3	5	
80	38994.7500000000	61	749	0	-4	0	
81	38994.7500000000	70	739	4	1	2	
82	39043.8007812500	70	745	6	-7	1	
83	38945.7031250000	78	739	3	-2	5	
84	39033.9921875000	73	750	8	-3	-1	
85	38984.9414062500	74	743	7	-3	0	
86	39014.3710937500	66	748	6	-3	0	
87	38955.5117187500	83	743	7	0	0	
88	38994.7500000000	63	759	3	-2	3	
89	38945.7031250000	71	752	3	-2	3	
90	38994.7500000000	64	737	3	-4	0	
91	38965.3203125000	72	732	3	-3	3	
92	39004.5625000000	65	748	5	1	1	
93	39014.3710937500	72	736	8	-8	5	
94	38984.9414062500	72	747	6	-2	-3	
95	38994.7500000000	68	753	7	-6	6	
96	38955.5117187500	73	741	2	1	5	
97	38975.1328125000	66	737	8	-4	-1	
98	39004.5625000000	71	742	6	-3	-4	
99	39014.3710937500	79	738	3	-3	1	
100	38926.0820312500	64	751	4	0	1	
101	38994.7500000000	70	741	5	-5	1	
102	38935.8906250000	65	747	3	-1	4	
103	38896.6523437500	67	733	6	-4	0	
104	38994.7500000000	67	729	3	-5	5	
105	38965.3203125000	72	731	3	-2	0	
106	38994.7500000000	69	718	6	-5	2	
107	38975.1328125000	74	745	8	-2	0	
108	38955.5117187500	75	743	7	-2	1	
109	39043.8007812500	73	744	6	-4	2	
110	38955.5117187500	79	757	5	-4	5	
111	39014.3710937500	72	750	2	-7	4	
112	38906.4609375000	70	745	3	-6	-1	
113	38984.9414062500	74	742	5	0	2	
114	38955.5117187500	76	747	2	-2	0	
115	38994.7500000000	69	751	3	-1	3	
116	39014.3710937500	74	747	5	-3	0	
117	38975.1328125000	74	741	3	-5	2	
118	39004.5625000000	68	744	6	0	0	
119	39014.3710937500	73	739	3	-6	7	
120	39033.9921875000	69	758	7	-6	0	
121	38984.9414062500	76	735	3	-3	2	
122	38926.0820312500	73	735	8	-7	1	
123	38975.1328125000	66	739	6	1	-1	
124	39033.9921875000	71	747	7	-2	1	
125	38975.1328125000	70	736	6	-3	3	
126	38994.7500000000	71	747	4	-3	4	
127	38945.7031250000	67	749	5	-5	-2	
128	38935.8906250000	68	746	9	-2	1	
129	39014.3710937500	72	742	8	-2	4	
130	38955.5117187500	66	744	7	0	1	
131	38965.3203125000	76	751	4	-4	0	
132	39033.9921875000	73	749	5	3	3	
133	38984.9414062500	78	743	5	-8	3	
134	39004.5625000000	78	743	6	-3	0	
135	38906.4609375000	70	748	5	-6	-1	
136	38965.3203125000	72	742	3	1	1	
137	38984.9414062500	73	743	8	-1	2	
138	38984.9414062500	71	732	6	-5	2	
139	38975.1328125000	74	736	4	0	2	
140	39053.6132812500	76	750	4	-1	1	
141	38984.9414062500	73	748	7	-4	1	
142	38994.7500000000	71	746	3	-1	4	
143	38926.0820312500	66	737	5	-3	4	
144	38945.7031250000	70	732	7	-2	0	
145	38975.1328125000	77	747	6	-4	2	
146	38935.8906250000	74	746	7	-1	0	
147	38867.2226562500	77	743	3	-5	3	
148	38965.3203125000	74	732	7	-1	2	
149	38926.0820312500	74	737	5	-2	2	
150	38965.3203125000	71	739	4	-8	2	
151	39024.1835937500	73	742	3	5	5	
152	38877.0312500000	73	731	5	-7	3	
153	38935.8906250000	78	741	6	3	2	
154	38877.0312500000	76	749	9	-2	-4	
155	39014.3710937500	68	742	5	-4	-1	
156	39004.5625000000	66	751	4	-4	1	
157	39014.3710937500	70	746	1	-6	0	
158	38994.7500000000	74	751	5	-3	-1	
159	38975.1328125000	65	746	7	-3	4	
160	39014.3710937500	70	730	6	1	0	
161	38994.7500000000	79	751	5	-5	3	
162	38935.8906250000	73	741	4	-6	7	
163	38955.5117187500	71	740	2	-4	5	
164	38896.6523437500	73	738	8	-4	2	
165	38984.9414062500	62	744	6	-1	0	
166	39014.3710937500	80	744	6	-6	0	
167	39014.3710937500	74	733	4	-2	2	
168	38955.5117187500	71	730	2	-5	0	
169	39014.3710937500	69	740	7	-4	-1	
170	39043.8007812500	67	757	5	-3	1	
171	39083.0429687500	74	741	4	-3	0	
172	38886.8398437500	72	743	3	-7	-3	
173	38935.8906250000	78	761	5	-6	3	
174	38965.3203125000	73	741	10	-7	5	
175	38955.5117187500	69	737	7	-3	-1	
176	38945.7031250000	78	732	6	-5	0	
177	38886.8398437500	71	752	2	-4	0	
178	38975.1328125000	71	739	4	-5	0	
179	39083.0429687500	68	743	3	-2	-1	
180	38906.4609375000	71	743	7	-7	1	
181	38886.8398437500	69	747	5	-2	0	
182	38955.5117187500	76	743	6	-2	2	
183	38945.7031250000	65	740	6	-8	0	
184	38975.1328125000	74	749	8	2	2	
185	38965.3203125000	69	741	4	-5	1	
186	39053.6132812500	69	740	4	-4	-1	
187	38965.3203125000	66	751	6	-1	1	
188	39053.6132812500	64	739	8	-2	4	
189	38975.1328125000	73	737	6	-1	3	
190	39014.3710937500	79	743	4	-1	1	
191	39033.9921875000	67	742	3	-3	0	
192	38945.7031250000	71	744	9	-5	2	
193	38955.5117187500	72	751	7	1	-3	
194	38975.1328125000	73	739	3	-8	-1	
195	39024.1835937500	67	741	5	0	0	
196	39043.8007812500	70	746	2	-4	-2	
197	39004.5625000000	74	748	6	-1	-2	
198	38955.5117187500	75	731	6	-6	1	
199	38984.9414062500	68	732	5	-4	-1	
200	39053.6132812500	80	755	0	-2	5	
201	38916.2734375000	73	744	6	-5	3	
202	39004.5625000000	71	743	6	-3	-1	
203	38984.9414062500	76	744	5	0	-1	
204	38935.8906250000	74	736	6	2	-1	
205	38994.7500000000	70	752	2	-1	3	
206	39014.3710937500	76	726	1	-1	3	
207	39033.9921875000	71	747	7	0	-3	
208	39033.9921875000	75	753	5	1	3	
209	38906.4609375000	69	733	5	-3	2	
210	38945.7031250000	75	744	7	-2	0	
211	38886.8398437500	77	729	2	2	1	
212	38935.8906250000	70	755	10	-3	1	
