76	2081	29	2254	7	1	-3	
77	2064	24	2251	8	1	-6	
78	2071	15	2242	6	3	1	
79	2074	24	2247	2	-2	-2	
80	2068	23	2253	6	0	-3	
81	2064	26	2243	6	1	1	
82	2063	18	2257	5	0	-5	
83	2064	25	2243	7	1	1	
84	2068	18	2251	5	2	-5	
85	2069	17	2241	5	3	-1	
86	2067	19	2227	3	7	-2	
87	2069	17	2252	3	5	0	
88	2062	24	2238	3	-1	0	
89	2059	26	2249	7	0	0	
90	2072	18	2244	8	3	-3	
91	2068	22	2233	6	-1	-1	
92	2068	27	2234	5	1	-2	
93	2075	22	2242	3	0	-1	
94	2068	17	2244	8	2	1	
95	2064	18	2250	6	3	-1	
96	2068	21	2238	3	1	-1	
97	2070	16	2246	2	1	2	
98	2069	23	2254	4	2	-3	
99	2069	18	2252	4	7	-2	
100	2064	19	2248	4	1	-4	
101	2073	23	2247	7	1	-1	
102	2064	27	2261	3	2	0	
103	2075	17	2262	3	2	2	
104	2071	23	2249	4	-3	-1	
105	2069	27	2249	5	-2	-1	
106	2066	20	2246	7	0	-5	
107	2071	22	2249	8	2	1	
108	2064	24	2246	3	-2	0	
109	2063	36	2246	6	0	-6	
110	2069	23	2266	11	1	2	
111	2065	20	2253	3	-2	-1	
112	2074	19	2245	6	2	2	
113	2069	14	2241	4	-2	-2	
114	2071	33	2239	8	1	1	
115	2064	19	2245	4	0	-4	
116	2069	13	2254	6	0	-1	
117	2073	28	2245	7	2	-1	
118	2068	23	2260	4	0	0	
119	2057	19	2236	3	3	-2	
120	2068	27	2245	9	-1	-2	
121	2074	17	2240	8	-3	-1	
122	2064	19	2263	7	-1	0	
123	2070	25	2246	4	2	-2	
124	2068	27	2255	5	-4	1	
125	2069	16	2261	4	0	-2	
126	2069	18	2252	7	1	0	
127	2064	34	2252	4	-2	3	
128	2060	17	2257	3	2	-1	
129	2069	13	2241	2	-1	-2	
130	2062	21	2254	4	4	0	
131	2063	28	2245	7	-2	1	
132	2070	15	2255	6	3	0	
133	2070	21	2254	5	6	1	
134	2067	24	2251	4	3	3	
135	2065	11	2247	4	-2	-2	
136	2070	28	2255	6	1	0	
137	2070	20	2241	5	2	-4	
138	2059	25	2253	9	2	-4	
139	2069	16	2242	2	1	-1	
140	2066	23	2249	5	0	-4	
141	2067	25	2249	5	0	-5	
142	2065	25	2229	5	-1	2	
143	2069	22	2254	6	-1	-4	
144	2070	16	2241	7	2	-2	
145	2072	23	2254	6	-1	-3	
146	2065	18	2250	5	0	-2	
147	2063	24	2245	3	-1	-1	
148	2063	16	2246	4	4	3	
149	2067	27	2242	5	0	-1	
150	2074	26	2254	7	0	-1	
151	2070	23	2246	9	1	0	
152	2068	21	2244	5	1	-1	
153	2065	21	2257	4	0	-3	
154	2066	29	2244	6	1	0	
155	2065	18	2243	6	-2	-4	
156	2065	20	2242	2	-1	-1	
157	2069	23	2259	8	5	-3	
158	2064	26	2245	6	0	-1	
159	2077	23	2242	2	-1	-1	
160	2068	24	2255	5	-2	2	
161	2058	27	2251	5	-1	-1	
162	2067	25	2253	7	5	-1	
163	2064	25	2242	3	-2	1	
164	2070	20	2277	1	-2	-1	
165	2061	19	2233	11	1	-1	
166	2060	27	2255	9	1	-1	
167	2066	27	2239	4	-1	1	
168	2073	24	2254	8	-1	0	
169	2059	14	2245	8	0	-2	
170	2073	33	2266	6	2	-3	
171	2063	14	2246	8	-3	-1	
172	2071	7	2260	6	0	-5	
173	2061	33	2248	6	0	-3	
174	2070	36	2244	6	2	1	
175	2062	14	2248	5	2	2	
176	2056	12	2201	12	-2	-3	
177	2072	29	2294	12	14	1	
178	2069	6	2245	17	6	-1	
179	2074	45	2248	5	3	-4	
180	2065	18	2264	1	2	-1	
181	2076	16	2234	6	0	1	
182	2073	43	2252	7	3	0	
183	2059	12	2262	-1	-2	-3	
184	2059	-1	2246	11	-6	0	
185	2076	47	2259	7	2	-1	
186	2065	22	2239	7	2	-4	
187	2066	8	2242	7	-4	-1	
188	2072	37	2278	0	-2	-2	
189	2063	14	2236	6	1	-3	
190	2065	15	2239	8	-1	-5	
191	2070	49	2258	7	-2	-3	
