	-2181	342	24	-7	-1	
493	2250	-2186	322	41	62	3	
494	2250	-2167	319	52	64	6	
495	2246	-2173	342	66	66	12	
496	2250	-2163	343	61	62	29	
497	2254	-2164	346	57	66	35	
498	2247	-2168	344	49	51	37	
499	2247	-2164	360	53	26	45	
500	2234	-2169	356	51	18	57	
501	2230	-2173	322	26	-25	80	
502	2170	-2166	364	26	-54	110	
503	2156	-2149	348	29	-121	117	
504	2134	-2161	369	30	-98	123	
505	2154	-2116	377	72	16	94	
506	2179	-2072	333	85	91	25	
507	2131	-2253	277	49	53	19	
508	1991	-2273	180	-41	-130	62	
509	1976	-2383	168	20	-333	164	
510	2177	-2222	212	-19	-338	221	
511	2157	-2123	199	-20	-252	234	
512	1997	-2123	191	-14	-189	198	
513	2061	-2079	162	-16	-179	103	
514	2039	-2123	170	4	-165	36	
515	2031	-2109	122	-13	-186	-17	
516	2073	-2205	193	27	-128	-47	
517	1994	-2202	163	21	-169	-53	
518	1976	-2194	157	40	-234	-46	
519	2086	-2206	132	21	-239	-58	
520	2099	-2141	37	-54	-238	-87	
521	1995	-2162	-47	-86	-302	-73	
522	2081	-2102	-63	-120	-376	-118	
523	2184	-2217	19	-87	-296	-98	
524	2395	-2382	333	-36	-60	-71	
525	2467	-2485	559	-120	368	65	
526	1907	-2371	504	-270	437	145	
527	1931	-2202	642	-97	5	-101	
528	2353	-2155	690	-20	-164	-120	
529	2319	-2117	463	-9	41	-45	
530	2266	-2197	372	5	235	-146	
531	2305	-2371	386	-19	354	-299	
532	2169	-2224	340	40	340	-298	
533	2154	-2042	333	123	264	-245	
534	2315	-2002	337	100	215	-280	
535	2414	-2089	298	109	282	-186	
536	2237	-2081	270	165	305	-85	
537	2200	-2091	249	190	231	-40	
538	2301	-2078	239	140	130	24	
539	2349	-2008	185	78	177	138	
540	2402	-2010	207	81	292	156	
541	2237	-2103	208	55	366	130	
542	2161	-2143	252	46	278	58	
543	2075	-2182	40	-48	230	21	
544	2364	-2378	-63	-252	318	-188	
545	2162	-2594	64	-314	309	-151	
546	1860	-2743	595	-66	97	-108	
547	2188	-2344	803	-196	-178	-313	
548	2726	-1761	713	-169	119	-174	
549	2327	-2134	590	45	369	39	
550	1985	-2368	498	-40	175	77	
551	1958	-2272	449	-55	-146	225	
552	2176	-1962	333	-67	-232	355	
553	2242	-1932	296	-12	-146	276	
554	2052	-2147	298	38	-110	269	
555	2063	-2042	256	27	-94	172	
